person_id,pose,duration_sec,video_time_sec
14,running,0.13,0.27
2,standing,0.23,0.33
15,standing,0.23,0.33
15,running,0.05,0.37
17,standing,0.25,0.5
18,running,0.25,0.5
20,standing,0.25,0.5
6,running,0.53,0.53
11,running,0.53,0.53
18,standing,0.28,0.67
22,standing,0.28,0.67
24,standing,0.23,0.84
25,standing,0.22,1.0
28,standing,0.22,1.0
29,standing,0.22,1.0
30,standing,0.22,1.0
2,running,1.13,1.1
20,running,0.87,1.1
33,standing,0.26,1.17
35,running,0.26,1.17
1,running,1.73,1.34
33,running,0.25,1.34
35,standing,0.25,1.34
40,standing,0.25,1.34
33,standing,0.21,1.5
41,standing,0.21,1.5
42,standing,0.21,1.5
7,running,1.99,1.54
29,running,0.76,1.54
31,running,0.76,1.54
34,running,0.76,1.54
42,running,0.04,1.54
45,running,0.04,1.54
1,standing,0.35,1.6
46,standing,0.26,1.67
12,running,2.27,1.71
18,running,1.5,1.71
24,running,1.27,1.71
25,running,1.04,1.71
51,standing,0.04,1.87
50,standing,0.49,2.01
52,running,0.19,2.14
54,running,0.25,2.17
36,running,1.62,2.27
47,running,0.9,2.27
54,standing,0.24,2.34
56,standing,0.24,2.34
59,standing,0.22,2.51
58,running,0.61,2.61
0,running,3.61,2.64
4,running,3.61,2.64
5,running,3.61,2.64
17,running,3.12,2.64
23,running,2.84,2.64
26,running,2.6,2.64
35,running,1.87,2.64
60,running,0.56,2.94
61,running,0.44,3.01
8,running,4.34,3.18
33,running,2.39,3.18
49,running,2.13,3.18
50,running,1.63,3.18
63,standing,0.5,3.18
69,standing,0.22,3.51
69,running,0.15,3.61
71,running,0.15,3.61
22,running,4.37,3.78
27,running,4.13,3.78
28,running,3.91,3.78
37,running,3.65,3.78
39,running,3.65,3.78
43,running,3.19,3.78
59,running,1.78,3.81
74,standing,0.21,3.84
75,standing,0.21,3.84
74,running,0.2,4.01
75,running,0.2,4.01
76,running,0.2,4.01
77,running,0.2,4.01
78,standing,0.2,4.01
78,running,0.03,4.05
77,standing,0.11,4.11
41,running,3.71,4.18
74,standing,0.23,4.18
75,standing,0.23,4.18
76,standing,0.23,4.18
80,standing,0.23,4.18
64,running,1.76,4.31
83,standing,0.22,4.35
83,running,0.12,4.45
85,running,0.12,4.45
79,running,0.89,4.65
82,running,0.66,4.65
88,standing,0.26,4.68
91,running,0.24,4.85
93,standing,0.24,4.85
93,running,0.16,4.98
91,standing,0.43,5.18
100,running,0.21,5.18
102,standing,0.21,5.18
103,running,0.23,5.35
96,running,0.67,5.35
98,running,0.67,5.35
81,running,1.75,5.45
74,running,1.81,5.48
75,running,1.81,5.48
84,running,1.81,5.48
96,standing,0.2,5.48
98,standing,0.2,5.48
100,standing,0.43,5.48
30,running,6.33,5.55
40,running,5.82,5.55
46,running,5.35,5.55
48,running,5.35,5.55
53,running,4.86,5.55
54,running,4.36,5.55
55,running,4.6,5.55
56,running,4.36,5.55
57,running,4.6,5.55
62,running,3.72,5.55
63,running,3.22,5.55
65,running,3.47,5.55
66,running,3.22,5.55
67,running,2.99,5.55
68,running,2.99,5.55
70,running,2.77,5.55
72,running,2.53,5.55
76,running,1.89,5.55
91,running,0.52,5.55
106,running,0.03,5.55
107,standing,0.03,5.55
109,standing,0.19,5.85
114,standing,0.24,6.02
80,running,2.59,6.12
108,running,0.74,6.12
114,running,0.23,6.19
119,standing,0.35,6.29
114,standing,0.22,6.35
125,standing,0.23,6.35
127,standing,0.23,6.52
133,standing,0.26,6.85
135,standing,0.26,6.85
102,running,2.47,7.02
105,running,2.47,7.02
110,running,1.82,7.02
139,standing,0.25,7.02
127,running,0.75,7.05
142,running,0.04,7.05
145,running,0.04,7.05
150,standing,0.04,7.05
149,standing,0.2,7.15
109,running,1.89,7.19
115,running,1.89,7.19
148,standing,0.26,7.19
154,standing,0.53,7.52
101,running,3.64,7.62
113,running,2.59,7.62
116,running,2.35,7.62
123,running,2.12,7.62
125,running,1.89,7.62
126,running,1.89,7.62
156,standing,0.41,7.82
163,standing,0.05,7.89
162,running,0.18,7.99
86,running,4.89,8.02
88,running,4.64,8.02
92,running,4.64,8.02
94,running,4.39,8.02
97,running,4.39,8.02
99,running,4.16,8.02
104,running,3.95,8.02
118,running,2.87,8.02
121,running,2.64,8.02
122,running,2.64,8.02
124,running,2.64,8.02
128,running,2.41,8.02
129,running,2.41,8.02
130,running,2.18,8.02
131,running,2.18,8.02
132,running,1.99,8.02
134,running,1.99,8.02
135,running,1.73,8.02
136,running,1.73,8.02
139,running,1.47,8.02
143,running,1.47,8.02
148,running,1.21,8.02
164,standing,0.21,8.02
161,running,0.33,8.12
164,running,0.12,8.12
165,running,0.21,8.19
165,standing,0.15,8.33
172,standing,0.15,8.33
155,running,1.37,8.36
173,standing,0.18,8.36
174,running,0.2,8.53
174,standing,0.17,8.69
174,running,0.04,8.73
154,running,1.62,8.83
179,running,0.05,8.89
152,running,2.27,8.93
178,standing,0.21,9.03
171,running,1.2,9.23
182,standing,0.03,9.23
185,running,0.04,9.56
186,standing,0.04,9.56
133,running,3.96,9.9
137,running,3.96,9.9
138,running,3.96,9.9
141,running,3.7,9.9
147,running,3.7,9.9
153,running,3.19,9.9
157,running,2.9,9.9
166,running,2.22,9.9
167,running,2.22,9.9
180,running,1.26,9.9
181,running,0.84,9.9
191,running,0.04,9.9
178,running,1.52,10.33
188,standing,0.86,10.43
170,running,2.96,10.77
173,running,2.78,10.77
205,standing,0.1,11.47
196,running,1.33,11.53
206,standing,0.02,11.57
198,lying,1.15,11.7
211,standing,0.04,12.4
212,standing,0.19,12.54
210,lying,0.53,12.77
214,standing,0.21,12.87
216,lying,0.09,12.94
217,standing,0.22,13.04
218,standing,0.22,13.04
212,running,0.72,13.07
213,running,0.47,13.07
214,running,0.26,13.07
215,running,0.26,13.07
225,standing,0.08,13.27
199,running,3.09,13.34
200,running,2.9,13.34
201,running,2.68,13.34
202,running,2.68,13.34
204,running,2.3,13.34
207,running,1.93,13.34
228,standing,0.04,13.41
219,lying,0.72,13.64
218,running,0.96,13.84
223,running,0.78,13.84
226,running,0.89,14.18
235,standing,0.14,14.18
237,lying,0.06,14.24
238,running,0.03,14.91
234,running,1.18,14.95
240,running,0.08,14.95
229,running,1.59,14.98
242,standing,0.19,15.05
247,standing,0.22,15.21
242,running,0.52,15.48
246,running,0.52,15.71
244,running,0.96,15.91
252,standing,0.4,16.38
